,Title,Views,Upload Date and Time,Video Link,Thumbnail Image
10,How to Create a Job-Winning Resume: A Complete Guide 🫨 | Resume Making | Career Tips | GFG,1.3K views,3 weeks ago,https://www.youtube.com/watch?v=ZEGi4IXY2ho,https://i.ytimg.com/vi/ZEGi4IXY2ho/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoq12KSCrrpV6ED3rJ94AzSnYu3w
11,"Upto 40 LPA Jobs from Personal Branding 💸 | Linkedin, Youtube, Twitter, Freelancing 🚀 | GFG",1.5K views,4 weeks ago,https://www.youtube.com/watch?v=W15T5GRf238,https://i.ytimg.com/vi/W15T5GRf238/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8E8GaT71K7FFQJfpYmQzzVEtEtA
12,9 High Paying Jobs AI Can't Replace 💸💡 High Demand Jobs 2024 | Geeks for Geeks,1.5K views,1 month ago,https://www.youtube.com/watch?v=mPNpCXHjdkw,https://i.ytimg.com/vi/mPNpCXHjdkw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1-2j7HPOQiAd78x2dgTpBEIEsHQ
13,"Upto 20 LPA Jobs For Freshers With These Top 7 Skills | Salary, Scope, Roles & Responsibility etc.",1.3K views,1 month ago,https://www.youtube.com/watch?v=Q6QXk-rrW0M,https://i.ytimg.com/vi/Q6QXk-rrW0M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBpxItrhr-uEV2ycWkf4rzyAcNuiw
14,10-12 LPA JOBS for Freshers | Applications Closing Soon! Tech + Non Tech Roles | Job Vacancy 2024,3.1K views,1 month ago,https://www.youtube.com/watch?v=G_LoL_bBcQE,https://i.ytimg.com/vi/G_LoL_bBcQE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnDaPxZF_Vu-hUdVylsx4H8hSOfw
15,BUILD YOUR OWN UI/UX WEBSITE USING React.js | MERN Projects | GeeksforGeeks,1.2K views,1 month ago,https://www.youtube.com/watch?v=uZ9JiGzq3mM,https://i.ytimg.com/vi/uZ9JiGzq3mM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMiM8qStB_xU5ARiuiNBN22xQJDw
16,"Get DREAM JOB with these NETWORKING TIPS! 💸💡LinkedIn, Referrals, Cold Messaging, Networking Events",1.3K views,1 month ago,https://www.youtube.com/watch?v=zPqMnLhkfp4,https://i.ytimg.com/vi/zPqMnLhkfp4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhfSFrRUDWjg_0iSRWXUtPJq-rFA
17,RECURSION PRACTICE PROBLEM | Recursive Algorithm | DSA Course | GeeksforGeeks,708 views,1 month ago,https://www.youtube.com/watch?v=Hpf6mr-7_5k,https://i.ytimg.com/vi/Hpf6mr-7_5k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBu8ApaLxZWIdGf-LVCEbjj6dvGuQ
18,"Best Startup Ideas in College 2024 💸🚀| Earn Better than Placement? 🤑 | Guide, Ideas, Funding etc",1.4K views,1 month ago,https://www.youtube.com/watch?v=G_gowXgOFRA,https://i.ytimg.com/vi/G_gowXgOFRA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqAfXQMmecNtCAY9MBu1W-A0eKLQ
19,Get 20LPA+ Jobs with these 5 Unique Project Ideas💡| Projects for Internships and Placements,2.5K views,1 month ago,https://www.youtube.com/watch?v=5mw5IzWTFs0,https://i.ytimg.com/vi/5mw5IzWTFs0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDBOn3Qb1Kl1QWXRB29xe7a1WK8Fw
20,"Hate Coding? Upto 44 LPA Non Tech Jobs in 2024 💸 | Skills, Role and Salary Expected.",1.6K views,1 month ago,https://www.youtube.com/watch?v=DMhSsL3-SLk,https://i.ytimg.com/vi/DMhSsL3-SLk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBG-qpSK0naUQ38vNVmTvH3zNRfRQ
21,Asking Coding Questions to Students Worth 20k Prices 🥳🤑| Kaun Banega Codepati ? 💸,1.2K views,1 month ago,https://www.youtube.com/watch?v=a5C5lCGTIrs,https://i.ytimg.com/vi/a5C5lCGTIrs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNHHqH0czmDQK0OOjRebzt0SvoKg
22,"Data Analyst vs Data Scientist vs Data Engineer | Differences, Skills, Salary & Responsibilities 💸",6.9K views,1 month ago,https://www.youtube.com/watch?v=EHmXVwjtgPs,https://i.ytimg.com/vi/EHmXVwjtgPs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtLDO0dahslTnHlee9HyJzUXhC7w
23,Top 8 Remote Jobs Websites For Freshers 🚀 |  Earn in Dollars | How to Get Remote Jobs in 2024?,2.7K views,1 month ago,https://www.youtube.com/watch?v=OIsIZ1w7aTU,https://i.ytimg.com/vi/OIsIZ1w7aTU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAMvBCuYhxpT3bH8QNNA_cEOqDe3Q
24,5 GENUINE Ways to EARN 40K+ as Student 💸🚀 | Pay Your College Fees | Earn Online ✅,1.9K views,1 month ago,https://www.youtube.com/watch?v=WEm6-g3dCBc,https://i.ytimg.com/vi/WEm6-g3dCBc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCKc39H-GKf4aYvrzYP2OEeh0aqSg
25,Image Classification using CNN | Machine Learning Projects | GeeksforGeeks,2.1K views,1 month ago,https://www.youtube.com/watch?v=qm56XcRBXWc,https://i.ytimg.com/vi/qm56XcRBXWc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWZP-alE5hdbsJ8Biv4orHINMPdA
26,Does CGPA Matters in Placement? | Low CGPA? Tier 3? Eligibility? | IT Jobs & Companies for Low CGPA,1.8K views,1 month ago,https://www.youtube.com/watch?v=mrap_vC0ZqU,https://i.ytimg.com/vi/mrap_vC0ZqU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPLK5wqhz89FE1-xgJbzZAci2xuQ
27,15 LPA+ Fresher JOBS in Java 🚀 | BEST ROADMAP from Scratch | Geeks For Geeks,4.7K views,1 month ago,https://www.youtube.com/watch?v=BWc2DeBaYuQ,https://i.ytimg.com/vi/BWc2DeBaYuQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAG6e54b896hn_eGI310hboW04NZA
28,Top 10 Highest Paying Tech Jobs in India 2024 💸🚀 | Geeks For Geeks,1.8K views,2 months ago,https://www.youtube.com/watch?v=tGSmvrS_TJk,https://i.ytimg.com/vi/tGSmvrS_TJk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGH6mSKhnOH6Qe1GPYh2mcGrKChg
29,Build an Ecommerce Website Like ZARA using React.js | MERN Projects | GeeksforGeeks,3.8K views,2 months ago,https://www.youtube.com/watch?v=jk2rhtBJ5S4,https://i.ytimg.com/vi/jk2rhtBJ5S4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCX63IeT7Y32Pk1nvuxsYi4ojw3Fw
30,How to Start Coding in 2024? 🚀 | Programming Language for Beginners | Geeks for Geeks,2.6K views,2 months ago,https://www.youtube.com/watch?v=dAzVSu5zavU,https://i.ytimg.com/vi/dAzVSu5zavU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8OYZ8AHzcS8_sZcVrytIIVPA_0A
31,3 Reasons Students QUIT Coding | How to Code Consistently ? | GeeksforGeeks,1.8K views,2 months ago,https://www.youtube.com/watch?v=oM0HOxae8_A,https://i.ytimg.com/vi/oM0HOxae8_A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrVmCiAK8IchqL9dfkSmbme_k-Zg
32,Is coding worth it in 2024? 😥 | AI better than coders? | Tech Layoffs & Recession,2.7K views,2 months ago,https://www.youtube.com/watch?v=GD8xHjxnyK8,https://i.ytimg.com/vi/GD8xHjxnyK8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCRZqjL_nJZ1eIdxSfiCpaFy5DGEw
33,Build a Food Delivery Website using React.js | MERN Stack Projects | GeeksforGeeks,8.9K views,2 months ago,https://www.youtube.com/watch?v=bd5DewlahnE,https://i.ytimg.com/vi/bd5DewlahnE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbroHUhx0QTZacQoU-BFVXOkhlhQ
34,5 Ways to Prepare for Layoffs in 2024! | AI Tools | Upskilling | Side Hustles,1.6K views,2 months ago,https://www.youtube.com/watch?v=XbG-Z0gxrjs,https://i.ytimg.com/vi/XbG-Z0gxrjs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDAA_fOm8lSutF5Q_w0zmfa3pa7yA
35,"Get Hired From Linkedin in 2024 | Best Linkedin Profile Creation | Skills, Experiences & Networking🚀",2.9K views,2 months ago,https://www.youtube.com/watch?v=2QbhA2mthy0,https://i.ytimg.com/vi/2QbhA2mthy0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWZXxwMIh5dXZ9qXNlOP3o55dEgw
36,High-Paying Tech Jobs Using AI | AI Tools for Coders | Geeks for Geeks,2K views,2 months ago,https://www.youtube.com/watch?v=PekLwtZVi3k,https://i.ytimg.com/vi/PekLwtZVi3k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDl5v3rHy7gGn3rSRFsegVrtVsj_Q
37,Web Dev vs App Dev in 2024? Which has more Salary ?🤔 | Career Scope & Skills | Geeks for Geeks,1.9K views,2 months ago,https://www.youtube.com/watch?v=hRTRjWm-2pQ,https://i.ytimg.com/vi/hRTRjWm-2pQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDJJmPpTXpOkn9LNs9vJB5X_x514w
38,Build a Fitness Tracker Website using React JS |MERN Projects |GeeksforGeeks,11K views,2 months ago,https://www.youtube.com/watch?v=HISjHTE2vnM,https://i.ytimg.com/vi/HISjHTE2vnM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4MTW5GvUuK5fN0Vru2fIwc3Vs5w
39,Top 7 High Paying Tech Jobs in 2024 | Skills and Salary Expected | Geeks for Geeks,29K views,2 months ago,https://www.youtube.com/watch?v=BS-y9ieR-mQ,https://i.ytimg.com/vi/BS-y9ieR-mQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAnATJkaKBdHlGAIfu51pzp5farLA
40,GATE AIR 21 Shares her secret to become a GATE Topper | GATE Topper Interview | GeeksforGeeks,1.1K views,2 months ago,https://www.youtube.com/watch?v=M5tEUGFpCg0,https://i.ytimg.com/vi/M5tEUGFpCg0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhx2DWn-L9rC8mWdx0u9y3w-LTZw
41,5 Ways to Become Top 1% Coders in 2024 | Get Jobs in IT | Geeks for Geeks,1.6K views,2 months ago,https://www.youtube.com/watch?v=OrNjShjUdow,https://i.ytimg.com/vi/OrNjShjUdow/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDc0EBX4nKeuB-XiF-RVASkhjfZMg
42,Tips to ace your tech job search | Resume tips by expert from @indeedindiaofficial   | GeeksforGeeks,907 views,2 months ago,https://www.youtube.com/watch?v=mh7En1ir_XM,https://i.ytimg.com/vi/mh7En1ir_XM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZ-n6XTWLMZlG_mixEy1Kdeq6qyA
43,Three 90 Challenge Back with Benefits | GeeksforGeeks,57K views,2 months ago,https://www.youtube.com/watch?v=-d-ZuuF8czQ,https://i.ytimg.com/vi/-d-ZuuF8czQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCc5yOCZflaClN1f8alwlkVfLHSnQ
44,7 JAVASCRIPT Concepts Every DEVELOPER Must Know! | GeeksforGeeks,871 views,3 months ago,https://www.youtube.com/watch?v=YxRErpzCa7c,https://i.ytimg.com/vi/YxRErpzCa7c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1MxJ5OC4CHpe6neyvSq74zWdV9A
45,MOVIE RECOMMENDATION SYSTEM Using Machine Learning | Machine Leaning Projects | GeeksforGeeks,3.4K views,3 months ago,https://www.youtube.com/watch?v=kxT8AursXXw,https://i.ytimg.com/vi/kxT8AursXXw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBU8U9XCU0f4yP_wfMaaT6Q5auPUQ
46,MASTERING RECURSION | Recursive Algorithm | DSA Course | GeeksforGeeks,996 views,3 months ago,https://www.youtube.com/watch?v=zwGcJ62lZ5g,https://i.ytimg.com/vi/zwGcJ62lZ5g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8myRrUOkEbylRlLLnGkTXTjZnjg
47,Is Software Engineering Dead ? - Meet Devin by Cognition Labs | GeeksforGeeks,1.6K views,3 months ago,https://www.youtube.com/watch?v=i8w_2n1GH44,https://i.ytimg.com/vi/i8w_2n1GH44/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBIkOvws5bXipi1MxOoTGDVBTgCqA
48,7 BEST AI Tools for Developers in 2024 | GeeksforGeeks,1.4K views,3 months ago,https://www.youtube.com/watch?v=mpIDwAT7m_0,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB0Eps9MhpSn00-HDFL3agG3UYu3w
49,3D PORTFOLIO WEBSITE using React and Three JS | GeeksforGeeks,12K views,3 months ago,https://www.youtube.com/watch?v=udtb67DKyq0,https://i.ytimg.com/vi/udtb67DKyq0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD0A5O9gfw_evSZ4toieX9XVPUbaQ
50,FAKE NEWS DETECTION Using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,10K views,3 months ago,https://www.youtube.com/watch?v=CkiXRQvz4Z4,https://i.ytimg.com/vi/CkiXRQvz4Z4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCKAKyqXHPT1LObwYpseP-10UkECQ
51,HEART DISEASE DETECTION using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,2.3K views,3 months ago,https://www.youtube.com/watch?v=F_9gGyCs3YY,https://i.ytimg.com/vi/F_9gGyCs3YY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8Q8UTi1jCFMC_I_1_-g8B2z_2gg
52,WHY LEARN PYTHON in 2024? | Benefits of Learning Python | GeeksforGeeks,1.4K views,3 months ago,https://www.youtube.com/watch?v=AmU9Zi6TNrs,https://i.ytimg.com/vi/AmU9Zi6TNrs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDK2zQ2wqKmIMVbtstnkXs-lm9E8w
53,Doctor Aaye #successsepareshan Rohan ko Dekhne...,280K views,3 months ago,https://www.youtube.com/watch?v=zbBALFXGy4Y,https://i.ytimg.com/vi/zbBALFXGy4Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAYhRT1ykhUfqOHd8hvL3agkjngxg
54,ATS Friendly Resume for Placement in 2024!!! GeeksforGeeks,1.2K views,3 months ago,https://www.youtube.com/watch?v=GF69ZVc1icg,https://i.ytimg.com/vi/GF69ZVc1icg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQBRXnRh-8dYUAeUapeswjFhgWlg
55,React JS Made Easy with ChatGPT | GeeksforGeeks,1.4K views,3 months ago,https://www.youtube.com/watch?v=MSmDIkWEtoc,https://i.ytimg.com/vi/MSmDIkWEtoc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_ojnruG2cw3EWOWG80lUb41P6iw
56,TREE PRACTICE PROBLEMS | Tree Traversal Algorithms | DSA Course | GeeksforGeeks,1.8K views,3 months ago,https://www.youtube.com/watch?v=0lLmU-VqXzk,https://i.ytimg.com/vi/0lLmU-VqXzk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDw_hQERjlaoN7BHbFYiGK96WLOFw
57,GATE CS 2024 ANSWER KEY OUT!! Detailed Paper Discussion - Shift 1 | GeeksforGeeks,881 views,3 months ago,https://www.youtube.com/watch?v=9fTvjjI67Rk,https://i.ytimg.com/vi/9fTvjjI67Rk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB164EKLX45QQoXHXKYopWm5QRrAA
58,GATE DS & AI 2024 Response Sheet Out | GATE DS & AI | Data Science GATE Response key | GeeksforGeeks,1.1K views,4 months ago,https://www.youtube.com/watch?v=iFGoMXC4Cxo,https://i.ytimg.com/vi/iFGoMXC4Cxo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLANF7DeyjbCIa8sJz1N0banXSrNbw
59,Kyun Hai Rohan #successsepareshan? | GeeksforGeeks,275K views,4 months ago,https://www.youtube.com/watch?v=v41P3Y5Xol8,https://i.ytimg.com/vi/v41P3Y5Xol8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCJGsZrW-gpHJNcIQdKYKHn-1I36Q
60,TREE DATA STRUCTURES | What is Tree? | DSA Course | GeeksforGeeks,4.1K views,4 months ago,https://www.youtube.com/watch?v=AylOfzYJ2qE,https://i.ytimg.com/vi/AylOfzYJ2qE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCymO2zkNlZLVp_LnvHxpmXd2IpBA
61,Three 90 Challenge Extended | 100+ Refunds Processed! | GeeksforGeeks,32K views,4 months ago,https://www.youtube.com/watch?v=FVCERWiQSDY,https://i.ytimg.com/vi/FVCERWiQSDY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKITomhudMkYh3n7fN6tlzIWEDhg
62,TYPESCRIPT vs JAVASCRIPT | Which one to Choose? | GeeksforGeeks,903 views,4 months ago,https://www.youtube.com/watch?v=BFf8n2RrKtM,https://i.ytimg.com/vi/BFf8n2RrKtM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7uPXnFly-YoemqRuHwvzuKZ8cYQ
63,Python's Map Function Explained with Examples | Python Tutorial |  GeeksforGeeks,1K views,4 months ago,https://www.youtube.com/watch?v=L66_EOxzLKI,https://i.ytimg.com/vi/L66_EOxzLKI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBW-PcHYWuh5l3v0RkNivjJAPjDfA
64,Build your own AI image Generation App using MERN | MERN Stack Project | GeeksforGeeks,12K views,4 months ago,https://www.youtube.com/watch?v=stcihX2eavw,https://i.ytimg.com/vi/stcihX2eavw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDdWapWZqVF1PkePpw7wEybLIFqbw
65,Strategies To Find A Job FAST! | Job Hunt Tips | How People Get Good Jobs | GeeksforGeeks,871 views,4 months ago,https://www.youtube.com/watch?v=rFXVb2-Rj5k,https://i.ytimg.com/vi/rFXVb2-Rj5k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDcR9plnnbOJxGNmXZPWsEV3tGbDg
66,Make your Resume Strong with these DSA Projects | Best DSA Projects for your Resume | GeeksforGeeks,8.4K views,4 months ago,https://www.youtube.com/watch?v=NjUteXHoOXk,https://i.ytimg.com/vi/NjUteXHoOXk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAcEtSRARZAahPcdxIBZMUhxJTiLw
67,Top TECH TRENDS & CAREERS in 2024!!! GeeksforGeeks,834 views,4 months ago,https://www.youtube.com/watch?v=FAluaVzy4VM,https://i.ytimg.com/vi/FAluaVzy4VM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAF6LGZy62FtyjA28kbWjivEeM2hA
